"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Mentor Class","Delete class mentor with valid path","FAILURE","2023-08-20T22:24:51.2117969+07:00[Asia/Jakarta]","0.0","2.6"
"Get All Mentor Class","Get all mentor class with valid path","FAILURE","2023-08-20T22:24:55.5827687+07:00[Asia/Jakarta]","0.0","2.25"
"Get Mentor Class","Get mentor class with valid path","FAILURE","2023-08-20T22:25:01.3583407+07:00[Asia/Jakarta]","0.0","2.17"
